nation_region,soc3,soc_description,notes,percentage_of_workforce_who_are_full_time
Scotland,412,Administrative Occupations: Finance,,0.6691440547302725
Scotland,413,Administrative Occupations: Records,,0.6949745812151013
Scotland,416,Administrative Occupations: Office Managers and Supervisors,,0.8311918833329972
Scotland,421,Secretarial and Related Occupations,,0.5362881209480341
Scotland,511,Agricultural and Related Trades,,0.8946939668798483
Scotland,521,"Metal Forming, Welding and Related Trades",,1
Scotland,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9846963457658316
Scotland,523,Vehicle Trades,,0.9796256459708725
Scotland,524,Electrical and Electronic Trades,,0.9814505275970548
Scotland,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
Scotland,531,Construction and Building Trades,,0.9446638932486916
Scotland,532,Building Finishing Trades,,0.9293799120069192
Scotland,533,Construction and Building Trades Supervisors,,1
Scotland,541,Textiles and Garments Trades,,0.8411859548548907
Scotland,542,Printing Trades,,1
Scotland,543,Food Preparation and Hospitality Trades,,0.7948427720813438
Scotland,544,Other Skilled Trades,,0.8690658499234303
Scotland,612,Childcare and Related Personal Services,,0.5027994565181718
Scotland,613,Animal Care and Control Services,,0.52091534141605
Scotland,614,Caring Personal Services,,0.6480626323192998
Scotland,621,Leisure and Travel Services,,0.5108106990780934
Scotland,622,Hairdressers and Related Services,,0.45128859602286786
Scotland,711,Sales Assistants and Retail Cashiers,,0.3284592404607991
Scotland,712,Sales Related Occupations,,0.7643084818475232
Scotland,713,Sales Supervisors,,0.6592643855971015
Scotland,721,Customer Service Occupations,,0.7225610767831898
Scotland,722,Customer Service Managers and Supervisors,,0.8399728648623359
South East,222,Therapy Professionals,,0.49033993252275765
South East,223,Nursing and Midwifery Professionals,,0.6580232795589136
South East,231,Teaching and Educational Professionals,,0.688792822299168
South East,241,Legal Professionals,,0.8081492498944159
South East,242,"Business, Research and Administrative Professionals",,0.8607153914987292
South East,243,"Architects, Town Planners and Surveyors",,0.9007076552344426
South East,244,Welfare Professionals,,0.7151316970071581
South East,245,Librarians and Related Professionals,,0.5653890009648277
South East,246,Quality and Regulatory Professionals,,0.9169028171361894
South East,247,Media Professionals,,0.7052107180395375
South East,311,"Science, Engineering and Production Technicians",,0.8418154459311074
South East,312,Draughtspersons and Related Architectural Technicians,,0.9702043388243766
South East,313,Information Technology Technicians,,0.9145422011339418
South East,321,Health Associate Professionals,,0.6219709208400647
South East,323,Welfare and Housing Associate Professionals,,0.653972370719314
South East,331,Protective Service Occupations,,0.9281233065154862
South East,341,"Artistic, Literary and Media Occupations",,0.7275244037204163
South East,342,Design Occupations,,0.8258014477766288
South East,344,Sports and Fitness Occupations,,0.4651310641627543
South East,352,Legal Associate Professionals,,0.8518822393822394
South East,353,"Business, Finance and Related Associate Professionals",,0.8983710382018715
South East,354,"Sales, Marketing and Related Associate Professionals",,0.8881985160055885
South East,355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
South East,356,Public Services and Other Associate Professionals,,0.7451545241428885
South East,411,Administrative Occupations: Government and Related Organisations,,0.733680601345114
South East,412,Administrative Occupations: Finance,,0.6429846512280096
South East,413,Administrative Occupations: Records,,0.6547595599200878
South East,416,Administrative Occupations: Office Managers and Supervisors,,0.7458062257490445
South East,421,Secretarial and Related Occupations,,0.5029674742461746
South East,511,Agricultural and Related Trades,,0.8072690026376745
South East,521,"Metal Forming, Welding and Related Trades",,1
South East,522,"Metal Machining, Fitting and Instrument Making Trades",,0.93351755526658
South East,523,Vehicle Trades,,0.9778069137539573
South East,524,Electrical and Electronic Trades,,0.9745602134744537
South East,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
South East,531,Construction and Building Trades,,0.9715114283984094
South East,532,Building Finishing Trades,,0.9175170381285688
South East,533,Construction and Building Trades Supervisors,,0.9809324678566971
South East,541,Textiles and Garments Trades,,0.6740158886012675
South East,542,Printing Trades,,0.9104842939565243
South East,543,Food Preparation and Hospitality Trades,,0.762929498453863
South East,544,Other Skilled Trades,,0.7110158793435652
South East,612,Childcare and Related Personal Services,,0.4636689040468978
South East,613,Animal Care and Control Services,,0.5650485436893203
South East,614,Caring Personal Services,,0.6252081975523209
South East,621,Leisure and Travel Services,,0.5510474090407939
South East,622,Hairdressers and Related Services,,0.42824170629292846
South East,711,Sales Assistants and Retail Cashiers,,0.35993706158973005
South East,712,Sales Related Occupations,,0.6429578656438604
South East,713,Sales Supervisors,,0.7605569536240702
South East,721,Customer Service Occupations,,0.6515614817785352
South East,722,Customer Service Managers and Supervisors,,0.796869744157977
South West,222,Therapy Professionals,,0.4800568148878196
South West,223,Nursing and Midwifery Professionals,,0.6208022945464685
South West,231,Teaching and Educational Professionals,,0.6838060451203143
South West,241,Legal Professionals,,0.807259037030501
South West,242,"Business, Research and Administrative Professionals",,0.8164620304147241
South West,243,"Architects, Town Planners and Surveyors",,0.9136325753065841
South West,244,Welfare Professionals,,0.7265780632117266
South West,245,Librarians and Related Professionals,,0.19757672238436366
South West,246,Quality and Regulatory Professionals,,1
South West,247,Media Professionals,,0.8461538461538461
South West,311,"Science, Engineering and Production Technicians",,0.8939863765758438
South West,312,Draughtspersons and Related Architectural Technicians,,0.7977102130563348
South West,313,Information Technology Technicians,,0.8710415326327829
South West,321,Health Associate Professionals,,0.599203124070807
South West,323,Welfare and Housing Associate Professionals,,0.6735011159855306
South West,331,Protective Service Occupations,,0.9403077088024017
South West,341,"Artistic, Literary and Media Occupations",,0.6939058171745153
South West,342,Design Occupations,,0.7303974668777602
South West,344,Sports and Fitness Occupations,,0.49384921742690713
South West,352,Legal Associate Professionals,,0.8279397789226229
South West,353,"Business, Finance and Related Associate Professionals",,0.8803379197262422
South West,354,"Sales, Marketing and Related Associate Professionals",,0.8171005376179457
South West,355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
South West,356,Public Services and Other Associate Professionals,,0.7832953370622697
South West,411,Administrative Occupations: Government and Related Organisations,,0.6047951917423401
South West,412,Administrative Occupations: Finance,,0.6237366198985032
South West,413,Administrative Occupations: Records,,0.6759588692966337
South West,416,Administrative Occupations: Office Managers and Supervisors,,0.8067886035877594
South West,421,Secretarial and Related Occupations,,0.4300298340481074
South West,511,Agricultural and Related Trades,,0.7696560063918461
South West,521,"Metal Forming, Welding and Related Trades",,0.9014794889038332
South West,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9907447893893019
South West,523,Vehicle Trades,,0.9635314263969049
South West,524,Electrical and Electronic Trades,,0.9475061528396523
South West,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,0.9484891323555399
South West,531,Construction and Building Trades,,0.9516992040611683
South West,532,Building Finishing Trades,,0.9694656488549618
South West,533,Construction and Building Trades Supervisors,,0.9449479691171534
South West,541,Textiles and Garments Trades,,0.7529943682081384
South West,542,Printing Trades,,0.7768725361366623
