occupation_group,geography_name,demand_entry_sl,demand_entry_fe,demand_entry_he
Professional Occupations,SOLENT,213.0,787.0,7219.0
Professional Occupations,LANCASHIRE,180.0,554.0,7643.0
Professional Occupations,LEEDS CITY REGION,362.0,1181.0,15978.0
Professional Occupations,"DERBY, DERBYSHIRE, NOTTINGHAM AND NOTTINGHAMSHIRE",290.0,891.0,10302.0
Professional Occupations,GLASGOW CITY REGION,146.0,391.0,6563.0
Professional Occupations,HUMBER,64.0,272.0,3123.0
Professional Occupations,GREATER CAMBRIDGE & GREATER PETERBOROUGH,274.0,799.0,9222.0
Professional Occupations,GREATER MANCHESTER,478.0,1619.0,18450.0
Professional Occupations,WEST OF ENGLAND,275.0,819.0,10015.0
Professional Occupations,GLOUCESTERSHIRE,107.0,237.0,3557.0
Professional Occupations,EDINBURGH AND THE LOTHIANS,244.0,647.0,7411.0
Professional Occupations,UK Total,12989.19,39127.21000000001,446012.0800000001
Professional Occupations,GREATER BIRMINGHAM AND SOLIHULL,332.0,1187.0,12736.0
Professional Occupations,GREATER LONDON,3234.0699999999997,8074.9000000000015,87063.3
Professional Occupations,SWINDON AND WILTSHIRE,139.0,422.0,5119.0
Professional Occupations,NORTHAMPTONSHIRE,84.0,287.0,3510.0
Professional Occupations,ENGLAND,11583.74,34699.97,387319.97000000003
Professional Occupations,ENTERPRISE M3,248.0,743.0,8877.0
Professional Occupations,BUCKINGHAMSHIRE THAMES VALLEY,93.0,293.0,3234.0
Professional Occupations,HERTFORDSHIRE,173.0,488.0,7056.0
Professional Occupations,NORTH EAST,220.0,718.0,9822.0
Professional Occupations,STOKE-ON-TRENT AND STAFFORDSHIRE,107.0,420.0,4767.0
Professional Occupations,SCOTLAND,814.12,2479.91,30501.9
Professional Occupations,CUMBRIA,36.0,135.0,1852.0
Professional Occupations,COAST TO CAPITAL,333.0,947.0,11080.0
Professional Occupations,SOUTH EAST ENGLAND,2049.3500000000004,6318.22,64645.48
Professional Occupations,YORKSHIRE AND THE HUMBER,857.5399999999998,2781.8300000000004,34968.68000000001
Professional Occupations,WORCESTERSHIRE,47.0,156.0,2223.0
Professional Occupations,CHESHIRE AND WARRINGTON,99.0,333.0,5046.0
Professional Occupations,OXFORDSHIRE LEP,184.0,424.0,4899.0
