occupation_group,geography_name,demand_entry_sl,demand_entry_fe,demand_entry_he
Sales And Customer Service Occupations,"YORK, NORTH YORKSHIRE AND EAST RIDING",3649.0,1867.0,679.0
Sales And Customer Service Occupations,LIVERPOOL CITY REGION,5408.0,2767.0,1067.0
Sales And Customer Service Occupations,SHEFFIELD CITY REGION,7302.0,3719.0,1415.0
Sales And Customer Service Occupations,CARDIFF CAPITAL REGION,2341.0,1156.0,417.0
Sales And Customer Service Occupations,LONDON,42238.0,23072.0,10330.0
Sales And Customer Service Occupations,NORTH WEST ENGLAND,33732.11,17599.52,7272.74
Sales And Customer Service Occupations,WALES,10749.060000000001,5678.179999999999,2351.5399999999995
Sales And Customer Service Occupations,DORSET,2878.0,1495.0,676.0
Sales And Customer Service Occupations,EAST OF ENGLAND,26122.87,14456.599999999999,5842.62
Sales And Customer Service Occupations,BELFAST METROPOLITAN AREA,3406.0,1875.0,855.0
Sales And Customer Service Occupations,EAST MIDLANDS,19366.14,10506.22,4466.15
Sales And Customer Service Occupations,WEST MIDLANDS,24153.049999999996,12966.779999999999,5323.44
Sales And Customer Service Occupations,SOUTH EAST MIDLANDS,8486.0,4548.0,1949.0
Sales And Customer Service Occupations,NORTH EAST ENGLAND,11571.02,5843.34,2727.41
Sales And Customer Service Occupations,LEICESTER AND LEICESTERSHIRE,4175.0,2304.0,952.0
Sales And Customer Service Occupations,TEES VALLEY,2136.0,1076.0,453.0
Sales And Customer Service Occupations,BLACK COUNTRY,2476.0,1321.0,433.0
Sales And Customer Service Occupations,THE MARCHES,1750.0,873.0,371.0
Sales And Customer Service Occupations,COVENTRY AND WARWICKSHIRE,4624.0,2423.0,1035.0
Sales And Customer Service Occupations,NEW ANGLIA,4894.0,2728.0,1017.0
Sales And Customer Service Occupations,HEART OF THE SOUTH WEST,5806.0,3196.0,1444.0
Sales And Customer Service Occupations,SOLENT,4937.0,2545.0,1014.0
