nation_region,soc3,soc_name,2012,2013,2014,2015,notes:
East of England,412,Administrative Occupations: Finance,86463,68883.75,77241.5,78009.75,
East of England,413,Administrative Occupations: Records,31807.75,48334.75,48382.25,39773.25,
East of England,416,Administrative Occupations: Office Managers and Supervisors,24687.25,19774.25,23085,20894.5,
East of England,421,Secretarial and Related Occupations,70730.5,79012.25,71778,68687,
East of England,511,Agricultural and Related Trades,35714,27719.75,33289.5,31348,
East of England,521,"Metal Forming, Welding and Related Trades",74238.75,79878,93610.75,92609.25,Using England figures
East of England,522,"Metal Machining, Fitting and Instrument Making Trades",25949.5,25911.25,28827.75,24123.5,
East of England,523,Vehicle Trades,27363.5,22765.75,27616.75,31987.25,
East of England,524,Electrical and Electronic Trades,39911.5,45668.25,39771.5,46805.5,
East of England,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
East of England,531,Construction and Building Trades,77647.5,80196.5,82156,90547,
East of England,532,Building Finishing Trades,16538.25,17702,21086.5,22057.75,
East of England,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
East of England,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
East of England,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
East of England,543,Food Preparation and Hospitality Trades,37354,36586,36939,44581.5,
East of England,544,Other Skilled Trades,13035.25,11072,7507.25,8594.25,
East of England,612,Childcare and Related Personal Services,76584,85832.75,81217.5,80407.75,
East of England,613,Animal Care and Control Services,8523,9616,12040,13467.75,
East of England,614,Caring Personal Services,104576.5,101595.25,119760.5,112905,
East of England,621,Leisure and Travel Services,12644,11245.5,10899.5,15247,
East of England,622,Hairdressers and Related Services,27327.25,24035.25,27541.5,30767.75,
East of England,711,Sales Assistants and Retail Cashiers,135011,126379.25,135287,134173.25,
East of England,712,Sales Related Occupations,15276,14461.5,13775.75,13388.5,
East of England,713,Sales Supervisors,17577,21145.5,13144,18089.75,
East of England,721,Customer Service Occupations,34641.25,29177.75,31267.25,32066,
East of England,722,Customer Service Managers and Supervisors,11942,7312,7099,13461.5,
London,222,Therapy Professionals,17036.25,21105.75,20211.25,17276,
London,223,Nursing and Midwifery Professionals,66729.25,68260,69458,61613,
London,231,Teaching and Educational Professionals,205221.25,219255.75,202133.5,199045,
London,241,Legal Professionals,73406.5,68002.5,57046.75,50998.75,
London,242,"Business, Research and Administrative Professionals",158295.5,168290.25,171048,157259.75,
London,243,"Architects, Town Planners and Surveyors",47109.25,46058,45459.75,42149,
London,244,Welfare Professionals,17992.75,22337.25,20483,25718.25,
London,245,Librarians and Related Professionals,7138,6748.75,6866.25,7541.5,
London,246,Quality and Regulatory Professionals,16045.25,18119,11727,22862.75,
London,247,Media Professionals,61701.5,53916.25,57119.5,53244.75,
London,311,"Science, Engineering and Production Technicians",27077,22077.25,21101.5,22379.75,
London,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
London,313,Information Technology Technicians,28016.25,31366.5,23725.5,22085.5,
London,321,Health Associate Professionals,18779,17021.75,26118.5,15206.25,
London,323,Welfare and Housing Associate Professionals,42603,39992.5,39029,37408.75,
London,331,Protective Service Occupations,33447.75,28543.5,24276.25,31649.25,
London,341,"Artistic, Literary and Media Occupations",111551.5,105698.5,125405.75,128425.75,
London,342,Design Occupations,33460.75,37429,32505.25,42841.5,
London,344,Sports and Fitness Occupations,17527,17109,19466,19008,
London,352,Legal Associate Professionals,11666.75,7744.5,8383,13620.25,
London,353,"Business, Finance and Related Associate Professionals",157042.5,150153.25,164987.75,145828.25,
London,354,"Sales, Marketing and Related Associate Professionals",144503,166029.25,177041,184580.75,
London,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
London,356,Public Services and Other Associate Professionals,64771.25,73581,66784.75,65617.75,
London,411,Administrative Occupations: Government and Related Organisations,49926.5,56600,54159.5,35348,
London,412,Administrative Occupations: Finance,129831,132595,127479.75,122635,
London,413,Administrative Occupations: Records,45482.5,41584.5,50927.75,50708.25,
London,416,Administrative Occupations: Office Managers and Supervisors,25462.75,23314.5,26231.75,30126.25,
London,421,Secretarial and Related Occupations,96785.25,98699.25,107019,94761.5,
London,511,Agricultural and Related Trades,10255.5,11821.75,14636.25,13251.5,
London,521,"Metal Forming, Welding and Related Trades",74238.75,79878,93610.75,92609.25,Using England figures
London,522,"Metal Machining, Fitting and Instrument Making Trades",7773.25,8311,10821.5,19412.25,
London,523,Vehicle Trades,16883,10209.75,15650.75,20241.25,
London,524,Electrical and Electronic Trades,38105.5,43021,46426.5,54778,
London,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
London,531,Construction and Building Trades,95530,100728.5,100271,115999.5,
London,532,Building Finishing Trades,22767.75,28030.25,25903,24468,
London,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
London,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
London,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
London,543,Food Preparation and Hospitality Trades,59194.75,56552.75,58428,66971.75,
London,544,Other Skilled Trades,82830,75734.25,77157,84574.25,Using England figures
London,612,Childcare and Related Personal Services,101429.75,125183.75,123844.5,127975.75,
London,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,Using England figures
London,614,Caring Personal Services,100453.75,102781.75,99536.75,109511.75,
London,621,Leisure and Travel Services,25567.5,35253.5,31099.25,28442,
London,622,Hairdressers and Related Services,25700.25,26940.5,28142,38449.75,
London,711,Sales Assistants and Retail Cashiers,158869,160072.75,163280.25,175137.25,
London,712,Sales Related Occupations,17291,18392.5,21785.75,19347.25,
London,713,Sales Supervisors,22992.5,20187.5,23981.25,21173.5,
London,721,Customer Service Occupations,37673,47304.25,50852.75,51028.75,
London,722,Customer Service Managers and Supervisors,15343.75,11651,13250.75,14095,
North East,222,Therapy Professionals,109279.75,115159.75,120572,106255,Using England figures
North East,223,Nursing and Midwifery Professionals,30995,36079.75,29782.25,30549.75,
North East,231,Teaching and Educational Professionals,43168.5,41029,45924.75,48872.75,
North East,241,Legal Professionals,169804.25,174260.25,166237.5,150741.25,Using England figures
North East,242,"Business, Research and Administrative Professionals",12718,13186,11324.25,14528.75,
North East,243,"Architects, Town Planners and Surveyors",175221,205703.5,197961.5,195481,Using England figures
North East,244,Welfare Professionals,8510.5,7938.25,7778.25,6348.75,
North East,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
North East,246,Quality and Regulatory Professionals,94141.25,93496.25,99091.25,101245.75,Using England figures
North East,247,Media Professionals,129986.25,123274.25,129008.5,130022.25,Using England figures
North East,311,"Science, Engineering and Production Technicians",10506.75,8690.75,14349.25,11157,
North East,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
North East,313,Information Technology Technicians,174122.25,173624.5,162496.25,154423.75,Using England figures
North East,321,Health Associate Professionals,125309.75,125274.25,123151.25,122002.5,Using England figures
North East,323,Welfare and Housing Associate Professionals,17339.5,12026,14121.5,11693.5,
North East,331,Protective Service Occupations,12861,12620.75,10951.75,12338.25,
North East,341,"Artistic, Literary and Media Occupations",286992.25,292220.25,325412.5,334665.25,Using England figures
North East,342,Design Occupations,116832.5,132397.75,124284.75,146581.75,Using England figures
North East,344,Sports and Fitness Occupations,115612.75,115172.5,132198.25,140316,Using England figures
North East,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,Using England figures
North East,353,"Business, Finance and Related Associate Professionals",17959.25,17447.75,14546.25,13629.25,
North East,354,"Sales, Marketing and Related Associate Professionals",17906.5,27300.25,22170.75,27450.25,
North East,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
North East,356,Public Services and Other Associate Professionals,21997.5,19085,22372.5,24745.5,
North East,411,Administrative Occupations: Government and Related Organisations,23889.25,26384.5,25159.25,24946.75,
North East,412,Administrative Occupations: Finance,24329.5,22331.75,23976,20357.75,
North East,413,Administrative Occupations: Records,13964.75,15040.75,15952,16307,
North East,416,Administrative Occupations: Office Managers and Supervisors,6787.75,7630.5,8246.75,8543.5,
North East,421,Secretarial and Related Occupations,23095.5,26670.25,24205.5,22704.75,
North East,511,Agricultural and Related Trades,9692,10883.5,9268.5,7285.5,
North East,521,"Metal Forming, Welding and Related Trades",10309,6218.5,11550.75,11739,
North East,522,"Metal Machining, Fitting and Instrument Making Trades",21713.5,17370,17471.5,18375.25,
North East,523,Vehicle Trades,11223.25,11539.75,8675.75,14121.5,
North East,524,Electrical and Electronic Trades,17931.75,19660.75,23842,21136,
North East,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
North East,531,Construction and Building Trades,25864.5,25057.25,29352.75,30029.5,
North East,532,Building Finishing Trades,8248.75,9572.5,7409.75,6349.25,
North East,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
North East,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
North East,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
North East,543,Food Preparation and Hospitality Trades,16915.5,19549.25,19129.5,18416.75,
North East,544,Other Skilled Trades,82830,75734.25,77157,84574.25,Using England figures
North East,612,Childcare and Related Personal Services,24521.75,27362.5,24919.75,32632.5,
North East,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,Using England figures
North East,614,Caring Personal Services,60203.25,55359,69994.25,68929.25,
North East,621,Leisure and Travel Services,146094,146204.75,135766.75,140461.25,Using England figures
North East,622,Hairdressers and Related Services,9863.75,9229,11859,11415.75,
North East,711,Sales Assistants and Retail Cashiers,62576,61937.25,69852.75,57009.5,
North East,712,Sales Related Occupations,135330.75,128869.5,131716.75,131077.75,Using England figures
North East,713,Sales Supervisors,7789,6346.5,8184,8973.25,
North East,721,Customer Service Occupations,29280,33312.5,24404.75,32410.5,
North East,722,Customer Service Managers and Supervisors,111657,102097.5,113666.25,105291,Using England figures
North West,222,Therapy Professionals,15314.75,16453.25,16996,12412,
North West,223,Nursing and Midwifery Professionals,75157.75,77913.5,81913.5,81737.25,
North West,231,Teaching and Educational Professionals,150386,145012,145831,167024.5,
North West,241,Legal Professionals,14245.25,19472,18220.5,17906,
North West,242,"Business, Research and Administrative Professionals",49296,48459.5,55125,56516.5,
North West,243,"Architects, Town Planners and Surveyors",21219,26249.5,23937.25,22518,
North West,244,Welfare Professionals,17004.25,17936.75,20984.5,17745.25,
North West,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
North West,246,Quality and Regulatory Professionals,9290.5,8395.75,14161,10260.25,
North West,247,Media Professionals,6652.5,7654.25,6297.5,7384.25,
North West,311,"Science, Engineering and Production Technicians",29250,31906.75,37268,29918,
North West,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
North West,313,Information Technology Technicians,19353.5,19416.5,16193.5,13656.5,
North West,321,Health Associate Professionals,17991.5,19372,13589.75,18265,
North West,323,Welfare and Housing Associate Professionals,30975,30252.75,27457.5,28084.25,
North West,331,Protective Service Occupations,31442.75,33912.5,37646.5,37749.75,
North West,341,"Artistic, Literary and Media Occupations",21132.5,18741.75,29177,22208,
North West,342,Design Occupations,13741.25,10627,12335,14750.75,
North West,344,Sports and Fitness Occupations,16256.5,11867.25,11691.25,12672.75,
North West,352,Legal Associate Professionals,6461,12734.25,11311.75,9894.25,
North West,353,"Business, Finance and Related Associate Professionals",50893.75,56547.5,61826,70123.25,
North West,354,"Sales, Marketing and Related Associate Professionals",86159.25,72042.25,77410,90586.5,
North West,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
North West,356,Public Services and Other Associate Professionals,56286,51046.75,53121.75,51657.5,
North West,411,Administrative Occupations: Government and Related Organisations,66571.75,56096,48623.75,42655,
North West,412,Administrative Occupations: Finance,79713,78625,79303,90122,
North West,413,Administrative Occupations: Records,43222,46412.25,54537,54804.75,
North West,416,Administrative Occupations: Office Managers and Supervisors,18553.75,24550.75,18478.5,20603.75,
North West,421,Secretarial and Related Occupations,89069,76813.25,67278,71339.75,
North West,511,Agricultural and Related Trades,20693.25,29250.5,33366,31893.75,
North West,521,"Metal Forming, Welding and Related Trades",6781.25,9602.25,13385.5,12129,
North West,522,"Metal Machining, Fitting and Instrument Making Trades",30067.25,25915,27489.25,31137.75,
North West,523,Vehicle Trades,28438.5,29802.25,29391.5,33502.5,
North West,524,Electrical and Electronic Trades,46347.25,45948.75,44034.5,43261.75,
North West,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
