nation_region,soc3,soc_name,2012,2013,2014,2015,notes:
Scotland,523,Vehicle Trades,21525.5,25891.5,24147.75,27485.25,
Scotland,524,Electrical and Electronic Trades,37727.25,33011.75,37693.25,39745.5,
Scotland,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",37329.75,39869,39283.75,36742.25,Using UK figures
Scotland,531,Construction and Building Trades,64794.25,63827,65408.25,56174,
Scotland,532,Building Finishing Trades,14785.5,16840.5,17998.25,17919,
Scotland,533,Construction and Building Trades Supervisors,57832.75,51043,55990,58700.75,Using UK figures
Scotland,541,Textiles and Garments Trades,39266.75,40970.75,46384,43210,Using UK figures
Scotland,542,Printing Trades,57083.75,50388.75,61576.75,55648.5,Using UK figures
Scotland,543,Food Preparation and Hospitality Trades,41153,45477.5,45872,36254.5,
Scotland,544,Other Skilled Trades,96284.75,92772.25,94846,99167,Using UK figures
Scotland,612,Childcare and Related Personal Services,48819,48195.5,57468,49336.75,
Scotland,613,Animal Care and Control Services,6747.5,6764,9073.25,6523.25,
Scotland,614,Caring Personal Services,114129.75,116613.5,130859.75,141081,
Scotland,621,Leisure and Travel Services,24996,19077.25,20918.5,16459.5,
Scotland,622,Hairdressers and Related Services,17581.75,18693.25,20431,24863.5,
Scotland,711,Sales Assistants and Retail Cashiers,148635.75,141129,139150.25,131956.25,
Scotland,712,Sales Related Occupations,13562,11278.5,11269.5,16683.75,
Scotland,713,Sales Supervisors,18083,16678.5,19333.75,16565.75,
Scotland,721,Customer Service Occupations,41274.5,46283.25,47146.75,50241,
Scotland,722,Customer Service Managers and Supervisors,8737.25,9863.75,10936.25,13473.75,
South East,222,Therapy Professionals,22169.5,24363,24834,21447.5,
South East,223,Nursing and Midwifery Professionals,69499.5,75781.75,74558.25,85142.25,
South East,231,Teaching and Educational Professionals,209881.5,219678.75,239142.5,240639.25,
South East,241,Legal Professionals,24633.75,23903.5,22642,17264,
South East,242,"Business, Research and Administrative Professionals",104671.25,112291.5,114419.75,96863,
South East,243,"Architects, Town Planners and Surveyors",29667.75,31443,35711.5,39390.5,
South East,244,Welfare Professionals,20561.75,20498.75,16551.75,16458.5,
South East,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
South East,246,Quality and Regulatory Professionals,19337.75,14099.5,16561.25,15645.5,
South East,247,Media Professionals,26723.25,20286.25,26870.25,23512.5,
South East,311,"Science, Engineering and Production Technicians",46112.5,48247.5,47351.75,40925.5,
South East,312,Draughtspersons and Related Architectural Technicians,8076.25,7604.25,8834,6875.25,
South East,313,Information Technology Technicians,36310,33277.25,37673.25,31353.75,
South East,321,Health Associate Professionals,21813.5,18830.5,14778,17803.75,
South East,323,Welfare and Housing Associate Professionals,32635.5,26736.5,30526.75,37353.5,
South East,331,Protective Service Occupations,75733.75,58566,64815.75,64082.75,
South East,341,"Artistic, Literary and Media Occupations",49716.5,49877.25,53273.5,59831.75,
South East,342,Design Occupations,24126.75,23647.25,19982.75,24340.75,
South East,344,Sports and Fitness Occupations,24389.75,23404.75,32128.25,33504.25,
South East,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,Using England figures
South East,353,"Business, Finance and Related Associate Professionals",98769.75,107443.25,110217,97991.75,
South East,354,"Sales, Marketing and Related Associate Professionals",153983.75,152756.75,161025.5,159617.75,
South East,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
South East,356,Public Services and Other Associate Professionals,60728.25,65808.75,84304.75,59993.75,
South East,411,Administrative Occupations: Government and Related Organisations,37330.25,40225,37539.5,33730.75,
South East,412,Administrative Occupations: Finance,99320.25,106386.75,108610.75,122908,
South East,413,Administrative Occupations: Records,54202.25,55242,58863.75,71000.75,
South East,416,Administrative Occupations: Office Managers and Supervisors,32801.75,32772.75,31100,35083.25,
South East,421,Secretarial and Related Occupations,101085.25,107306,102670.5,108506.25,
South East,511,Agricultural and Related Trades,41974.75,37432.5,48719,50229,
South East,521,"Metal Forming, Welding and Related Trades",10332.75,10635.5,9184.5,10746,
South East,522,"Metal Machining, Fitting and Instrument Making Trades",26044.5,29339.75,32552.5,36831.75,
South East,523,Vehicle Trades,37165,37253,36119,40311.5,
South East,524,Electrical and Electronic Trades,65640.75,51808,55972.25,59574.5,
South East,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
South East,531,Construction and Building Trades,104673.25,111424,114220.5,101243.5,
South East,532,Building Finishing Trades,30308.25,33405,27796.5,26724,
South East,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
South East,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
South East,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
South East,543,Food Preparation and Hospitality Trades,54410,52423.5,56000.75,59161.5,
South East,544,Other Skilled Trades,13924.25,10756,13680.25,9644.5,
South East,612,Childcare and Related Personal Services,122951.75,123323.75,117168.75,121250.75,
South East,613,Animal Care and Control Services,12109.25,15138,17949.75,15625,
South East,614,Caring Personal Services,132024,153021,146753.25,140098,
South East,621,Leisure and Travel Services,29359,33036.25,31475.5,28163.5,
South East,622,Hairdressers and Related Services,38642.75,38035.75,35364.5,47819.75,
South East,711,Sales Assistants and Retail Cashiers,196922.75,192114.25,181719.5,185948.25,
South East,712,Sales Related Occupations,20189,18309.5,19697.75,24108,
South East,713,Sales Supervisors,30141.25,28756.25,28604.75,23912,
South East,721,Customer Service Occupations,60066.5,43990.5,37441.5,40969.5,
South East,722,Customer Service Managers and Supervisors,18269.5,18873.75,23303.5,17328,
South West,222,Therapy Professionals,13058.5,11213.75,12989.25,11367.25,
South West,223,Nursing and Midwifery Professionals,56130.5,48742.5,48405.25,58893.75,
South West,231,Teaching and Educational Professionals,112016.75,109457.75,116334.25,120401.75,
South West,241,Legal Professionals,13531.5,10563.25,12224.75,11801.75,
South West,242,"Business, Research and Administrative Professionals",52028.25,49574,54618.5,55864,
South West,243,"Architects, Town Planners and Surveyors",16452,22060.5,18399,14115.25,
South West,244,Welfare Professionals,13278,13463.5,12248.25,11132.25,
South West,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
South West,246,Quality and Regulatory Professionals,8271.5,7741,7878.75,6049.25,
South West,247,Media Professionals,8425.75,9784,10053.25,13898.25,
South West,311,"Science, Engineering and Production Technicians",27146.25,27701.75,28029,27180.5,
South West,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
South West,313,Information Technology Technicians,19212.75,15590.5,14457.75,13887.5,
South West,321,Health Associate Professionals,14130.5,12768,18182.25,16546,
South West,323,Welfare and Housing Associate Professionals,17122.75,19577.25,19573,20795.25,
South West,331,Protective Service Occupations,37684.75,33778.75,34119.25,37683.5,
South West,341,"Artistic, Literary and Media Occupations",21824.5,28228,29115.25,34273.75,
South West,342,Design Occupations,9872,13530.75,6445.25,8698.5,
South West,344,Sports and Fitness Occupations,9115.25,10853.5,14409.5,17384.5,
South West,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,Using England figures
South West,353,"Business, Finance and Related Associate Professionals",42084.5,46453.75,53978,57222.75,
South West,354,"Sales, Marketing and Related Associate Professionals",76481.25,81764.25,83249,74349.25,
South West,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
South West,356,Public Services and Other Associate Professionals,45377.5,41181.5,43886.5,50080.75,
South West,411,Administrative Occupations: Government and Related Organisations,34179.75,26498.25,25337,25347.75,
South West,412,Administrative Occupations: Finance,59708,60955.5,67825.5,70329.5,
South West,413,Administrative Occupations: Records,28003.75,30588.75,33553.5,34933.75,
South West,416,Administrative Occupations: Office Managers and Supervisors,16647,21035.25,20723.75,18338,
South West,421,Secretarial and Related Occupations,67808.75,60363.25,57207.25,58825.25,
South West,511,Agricultural and Related Trades,36154.75,31412.75,38057.5,30434.5,
South West,521,"Metal Forming, Welding and Related Trades",74238.75,79878,93610.75,92609.25,Using England figures
South West,522,"Metal Machining, Fitting and Instrument Making Trades",27273.75,23251.25,21232.5,22905.75,
South West,523,Vehicle Trades,30713.75,28496.25,29236.25,26955,
South West,524,Electrical and Electronic Trades,32744,33051,32242.5,42681.75,
South West,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
South West,531,Construction and Building Trades,77120.5,84986.25,82775.5,84664.75,
South West,532,Building Finishing Trades,19380.75,16371,16934,22061.75,
South West,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
South West,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
South West,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
South West,543,Food Preparation and Hospitality Trades,36476.5,38362.75,37511,40152,
South West,544,Other Skilled Trades,9880.25,8835.25,7884.25,8952,
South West,612,Childcare and Related Personal Services,69357,71340.5,66205.5,69879.25,
South West,613,Animal Care and Control Services,7230.75,7768.5,9202.25,8651,
South West,614,Caring Personal Services,101858.75,108624.75,115130.25,122208,
South West,621,Leisure and Travel Services,13493.75,16223.5,10362.75,13559.25,
South West,622,Hairdressers and Related Services,18620,24324.5,23855.25,18663.25,
South West,711,Sales Assistants and Retail Cashiers,129205.5,120336,108765,114988.5,
South West,712,Sales Related Occupations,11811.75,10056.5,10062.5,11882.75,
South West,713,Sales Supervisors,17413,17564.25,18538.5,14410.25,
South West,721,Customer Service Occupations,33376.75,25689,21111.75,32664.75,
South West,722,Customer Service Managers and Supervisors,11088.75,11369.5,14570,10947.5,
Wales,222,Therapy Professionals,129962.5,140418.25,144171.25,126361,Using UK figures
Wales,223,Nursing and Midwifery Professionals,29487.75,29943.75,38054.5,41617.5,
Wales,231,Teaching and Educational Professionals,65445.75,67835.75,75179.75,68306.75,
Wales,241,Legal Professionals,194331.25,197011,187533.25,172157.5,Using UK figures
Wales,242,"Business, Research and Administrative Professionals",19487.75,17724.5,21215.25,14999.75,
Wales,243,"Architects, Town Planners and Surveyors",211995.5,242176.75,229862.25,224428.25,Using UK figures
Wales,244,Welfare Professionals,158013.75,173970.5,165747,154417.25,Using UK figures
Wales,245,Librarians and Related Professionals,32136.5,39633.5,35890.5,36878.5,Using UK figures
Wales,246,Quality and Regulatory Professionals,108887.25,114562,115241.5,118232.75,Using UK figures
Wales,247,Media Professionals,142164,136728.75,144046.75,147146.25,Using UK figures
Wales,311,"Science, Engineering and Production Technicians",14231.25,14298.5,9047.5,12238.5,
Wales,312,Draughtspersons and Related Architectural Technicians,56376.75,56263.75,58883.75,51023.25,Using UK figures
Wales,313,Information Technology Technicians,9057.5,8318,8415.25,7505.75,
Wales,321,Health Associate Professionals,145311.25,142026,145070,142568.5,Using UK figures
Wales,323,Welfare and Housing Associate Professionals,15198,17836.5,16994.25,16243.5,
Wales,331,Protective Service Occupations,16232.75,17193.5,18277.25,18129.5,
Wales,341,"Artistic, Literary and Media Occupations",14041.75,12539.5,9914.75,10114,
Wales,342,Design Occupations,131162.75,141700,135107.25,162057.5,Using UK figures
Wales,344,Sports and Fitness Occupations,7366,7816.75,8759,9047.5,
Wales,352,Legal Associate Professionals,56700.5,69605,54812.75,67705,Using UK figures
Wales,353,"Business, Finance and Related Associate Professionals",18743.5,19643.25,16945.75,22321.5,
Wales,354,"Sales, Marketing and Related Associate Professionals",25526,21216.25,24305.5,27541.25,
Wales,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
Wales,356,Public Services and Other Associate Professionals,24632.5,28418,31303,23502.5,
Wales,411,Administrative Occupations: Government and Related Organisations,33464.75,34297.75,26224.5,24916,
Wales,412,Administrative Occupations: Finance,24926,33713.75,32919.25,30330.25,
Wales,413,Administrative Occupations: Records,18010.25,16679.25,15978.25,14691,
Wales,416,Administrative Occupations: Office Managers and Supervisors,200785.75,199948,195202.75,211816.5,Using UK figures
Wales,421,Secretarial and Related Occupations,29368.5,30385.75,26838,29545.25,
Wales,511,Agricultural and Related Trades,16713.25,15384,21737.75,21146.5,
Wales,521,"Metal Forming, Welding and Related Trades",95192.5,102994.5,118682.25,112716.25,Using UK figures
Wales,522,"Metal Machining, Fitting and Instrument Making Trades",14067.25,19995.5,13759.75,15537.5,
Wales,523,Vehicle Trades,16785,20348.25,16817.25,12426.75,
Wales,524,Electrical and Electronic Trades,23237.75,20283.25,18996,17532.75,
Wales,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",37329.75,39869,39283.75,36742.25,Using UK figures
Wales,531,Construction and Building Trades,43473.75,39078,46047.75,36865,
Wales,532,Building Finishing Trades,9626.75,11533.25,11918,12803.25,
Wales,533,Construction and Building Trades Supervisors,57832.75,51043,55990,58700.75,Using UK figures
Wales,541,Textiles and Garments Trades,39266.75,40970.75,46384,43210,Using UK figures
Wales,542,Printing Trades,57083.75,50388.75,61576.75,55648.5,Using UK figures
Wales,543,Food Preparation and Hospitality Trades,22578.75,19500.25,19641,24107.5,
Wales,544,Other Skilled Trades,96284.75,92772.25,94846,99167,Using UK figures
Wales,612,Childcare and Related Personal Services,36142.75,41775.25,39532.25,38897,
Wales,613,Animal Care and Control Services,66870.5,74125.25,83761,85503.75,Using UK figures
Wales,614,Caring Personal Services,60420.25,72419.25,75086.75,79880,
Wales,621,Leisure and Travel Services,180883.75,175346.5,168131,172110.75,Using UK figures
Wales,622,Hairdressers and Related Services,12439.75,13164,13480.5,12253,
Wales,711,Sales Assistants and Retail Cashiers,74868.25,69693.25,62869,69148.5,
Wales,712,Sales Related Occupations,156565,148636.5,155709.25,159292,Using UK figures
Wales,713,Sales Supervisors,10428,7128.75,10284.25,11011,
Wales,721,Customer Service Occupations,21733,19297.5,17328.25,19092.75,
Wales,722,Customer Service Managers and Supervisors,128689.5,117383.5,129640.75,127116,Using UK figures
West Midlands,222,Therapy Professionals,10133.75,6294.25,9822.5,10013.75,
West Midlands,223,Nursing and Midwifery Professionals,54356.25,51123.25,49685.75,54995.25,
West Midlands,231,Teaching and Educational Professionals,134044.25,127338.75,131413,131916.25,
West Midlands,241,Legal Professionals,10129.75,12437.5,13615,11452,
West Midlands,242,"Business, Research and Administrative Professionals",35576.5,39344.75,46715.5,37447,
West Midlands,243,"Architects, Town Planners and Surveyors",11430,12492,15941.5,19706,
West Midlands,244,Welfare Professionals,17673.5,13603.5,13423.75,9750.25,
West Midlands,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
West Midlands,246,Quality and Regulatory Professionals,9997.25,9359.75,8915.5,8841.5,
West Midlands,247,Media Professionals,129986.25,123274.25,129008.5,130022.25,Using England figures
West Midlands,311,"Science, Engineering and Production Technicians",25295.25,21442.5,23980.25,16328,
West Midlands,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
West Midlands,313,Information Technology Technicians,21079.75,18096.25,14064,13317.25,
West Midlands,321,Health Associate Professionals,12473.75,16232.25,15794.5,11602.25,
West Midlands,323,Welfare and Housing Associate Professionals,23037.25,28785.75,28429.25,21764.5,
West Midlands,331,Protective Service Occupations,29283,27747.75,36227,25704.75,
West Midlands,341,"Artistic, Literary and Media Occupations",16948,23392.75,19039.75,26083,
West Midlands,342,Design Occupations,116832.5,132397.75,124284.75,146581.75,Using England figures
West Midlands,344,Sports and Fitness Occupations,115612.75,115172.5,132198.25,140316,Using England figures
West Midlands,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,Using England figures
West Midlands,353,"Business, Finance and Related Associate Professionals",37670,38112.5,27967.75,41081.75,
West Midlands,354,"Sales, Marketing and Related Associate Professionals",73221.5,79558.75,67343.5,71950.75,
West Midlands,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
West Midlands,356,Public Services and Other Associate Professionals,43978,41290.25,39854.25,44507.25,
West Midlands,411,Administrative Occupations: Government and Related Organisations,39191.75,27007.5,32032.5,28254.75,
West Midlands,412,Administrative Occupations: Finance,66967,60763.25,54397.75,71423.75,
West Midlands,413,Administrative Occupations: Records,44250.5,32588.5,32002.25,38159.5,
West Midlands,416,Administrative Occupations: Office Managers and Supervisors,18438.25,12046.5,15872.25,16793,
West Midlands,421,Secretarial and Related Occupations,50596.25,58254.75,57133.25,60035.75,
West Midlands,511,Agricultural and Related Trades,27671,21338.5,27408,27564.25,
West Midlands,521,"Metal Forming, Welding and Related Trades",10477.5,13932.75,14997.25,16574,
West Midlands,522,"Metal Machining, Fitting and Instrument Making Trades",40788,40878,49646,43119.5,
West Midlands,523,Vehicle Trades,27871,29305.5,27186.25,38548,
West Midlands,524,Electrical and Electronic Trades,38529,37563.25,37428.25,39286.25,
West Midlands,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
West Midlands,531,Construction and Building Trades,61844.75,62952.25,60340.5,58550,
West Midlands,532,Building Finishing Trades,13392.75,13804.5,15259,14350,
West Midlands,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
West Midlands,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
West Midlands,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
West Midlands,543,Food Preparation and Hospitality Trades,29499.25,41263.75,39786,39964.75,
West Midlands,544,Other Skilled Trades,10331.75,10058.75,11206.75,14501.25,
West Midlands,612,Childcare and Related Personal Services,63728,68488.5,69321.25,62853.5,
West Midlands,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,Using England figures
West Midlands,614,Caring Personal Services,97529.5,113897.5,112287,116338,
West Midlands,621,Leisure and Travel Services,11284.25,10261.5,11689,9156.5,
West Midlands,622,Hairdressers and Related Services,16666.5,15880.75,20639.25,31877.75,
West Midlands,711,Sales Assistants and Retail Cashiers,135869.5,127789,124974.5,119404.5,
West Midlands,712,Sales Related Occupations,12457,18172.75,13983.25,14778.5,
West Midlands,713,Sales Supervisors,22532,15663,19528.25,13728.75,
West Midlands,721,Customer Service Occupations,32430.25,28728,31707.25,34362,
West Midlands,722,Customer Service Managers and Supervisors,10470,9870.5,13886.25,10780,
Yorkshire and Humberside,222,Therapy Professionals,7614.25,8612,10727.25,9294.75,
Yorkshire and Humberside,223,Nursing and Midwifery Professionals,50025,51885.5,49589.75,62107.75,
Yorkshire and Humberside,231,Teaching and Educational Professionals,120370.5,112157.25,118170.25,125049.5,
Yorkshire and Humberside,241,Legal Professionals,6970,9813.25,12186.25,11109.5,
Yorkshire and Humberside,242,"Business, Research and Administrative Professionals",40326.5,40703,37977.25,35054.75,
Yorkshire and Humberside,243,"Architects, Town Planners and Surveyors",11926.25,13673,14834.25,16053.75,
Yorkshire and Humberside,244,Welfare Professionals,11899.25,18364.5,16783,12188.25,
Yorkshire and Humberside,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
Yorkshire and Humberside,246,Quality and Regulatory Professionals,94141.25,93496.25,99091.25,101245.75,Using England figures
Yorkshire and Humberside,247,Media Professionals,129986.25,123274.25,129008.5,130022.25,Using England figures
Yorkshire and Humberside,311,"Science, Engineering and Production Technicians",21942,21128.5,21444.75,16893.5,
Yorkshire and Humberside,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
Yorkshire and Humberside,313,Information Technology Technicians,11684.75,12833,16045.75,11193.75,
Yorkshire and Humberside,321,Health Associate Professionals,11958.75,14780.75,11301.25,11777.5,
Yorkshire and Humberside,323,Welfare and Housing Associate Professionals,26832.5,25027.75,25467.75,26808.25,
Yorkshire and Humberside,331,Protective Service Occupations,36468.75,30119.5,26677.75,24948.75,
Yorkshire and Humberside,341,"Artistic, Literary and Media Occupations",15535.25,18833.5,15140.5,14352.25,
Yorkshire and Humberside,342,Design Occupations,7160.5,12119.75,14840.75,12234.5,
Yorkshire and Humberside,344,Sports and Fitness Occupations,9352.75,8801.5,8741,12136.25,
Yorkshire and Humberside,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,Using England figures
Yorkshire and Humberside,353,"Business, Finance and Related Associate Professionals",37776.25,39913.5,41922.75,35505.5,
Yorkshire and Humberside,354,"Sales, Marketing and Related Associate Professionals",59900.75,60780,68902,71504.5,
Yorkshire and Humberside,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
Yorkshire and Humberside,356,Public Services and Other Associate Professionals,37657.5,36434.25,34625.25,36819.25,
Yorkshire and Humberside,411,Administrative Occupations: Government and Related Organisations,29674,33523.25,28359,27658.5,
Yorkshire and Humberside,412,Administrative Occupations: Finance,58899.25,57043.75,60104.75,58602.5,
Yorkshire and Humberside,413,Administrative Occupations: Records,33346.5,32577.25,34514.25,32301.75,
Yorkshire and Humberside,416,Administrative Occupations: Office Managers and Supervisors,13157.25,13959.25,17817.5,14703,
Yorkshire and Humberside,421,Secretarial and Related Occupations,48216.25,49760.25,49816.5,47305,
Yorkshire and Humberside,511,Agricultural and Related Trades,25389.25,20278.75,22292.5,25653.5,
Yorkshire and Humberside,521,"Metal Forming, Welding and Related Trades",9486,9939.5,15950,12408,
Yorkshire and Humberside,522,"Metal Machining, Fitting and Instrument Making Trades",35103.25,28846.25,26144.75,27241.25,
Yorkshire and Humberside,523,Vehicle Trades,22478.25,23712.25,25941.75,20946,
Yorkshire and Humberside,524,Electrical and Electronic Trades,31818.25,32269,34964.25,41045.25,
Yorkshire and Humberside,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
Yorkshire and Humberside,531,Construction and Building Trades,68028.25,57605.5,68109.25,65373.25,
Yorkshire and Humberside,532,Building Finishing Trades,14868.5,15682,17160.75,19185,
Yorkshire and Humberside,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
Yorkshire and Humberside,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
Yorkshire and Humberside,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
Yorkshire and Humberside,543,Food Preparation and Hospitality Trades,47024.75,40762,36080.25,40236.75,
Yorkshire and Humberside,544,Other Skilled Trades,8473,8749,9747.75,11392,
Yorkshire and Humberside,612,Childcare and Related Personal Services,63396,63015.75,63520.5,76368.5,
Yorkshire and Humberside,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,Using England figures
Yorkshire and Humberside,614,Caring Personal Services,105956.75,126204.25,123342,111528.5,
Yorkshire and Humberside,621,Leisure and Travel Services,8074,10426.25,9539,8316,
Yorkshire and Humberside,622,Hairdressers and Related Services,23930.25,23874.25,20256.75,20507.25,
Yorkshire and Humberside,711,Sales Assistants and Retail Cashiers,130129.75,125126.75,144544.75,138248.5,
Yorkshire and Humberside,712,Sales Related Occupations,15648.25,16162,12535.25,13767.75,
Yorkshire and Humberside,713,Sales Supervisors,18710.75,12965,16758.75,12908.75,
Yorkshire and Humberside,721,Customer Service Occupations,36694.75,38641.75,50273,39980.75,
Yorkshire and Humberside,722,Customer Service Managers and Supervisors,15243.5,11126.75,10397.5,12310,
England,222,Therapy Professionals,109279.75,115159.75,120572,106255,
England,223,Nursing and Midwifery Professionals,501600.75,507159.25,505073.25,535782.5,
England,231,Teaching and Educational Professionals,1210590.5,1209818.25,1241205,1272804.5,
England,241,Legal Professionals,169804.25,174260.25,166237.5,150741.25,
England,242,"Business, Research and Administrative Professionals",554574.5,574996,593653.5,552613,
England,243,"Architects, Town Planners and Surveyors",175221,205703.5,197961.5,195481,
England,244,Welfare Professionals,127173.5,135588,132827.5,123063,
England,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,
England,246,Quality and Regulatory Professionals,94141.25,93496.25,99091.25,101245.75,
England,247,Media Professionals,129986.25,123274.25,129008.5,130022.25,
England,311,"Science, Engineering and Production Technicians",241053.25,231301.25,237201,218368.5,
England,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,
England,313,Information Technology Technicians,174122.25,173624.5,162496.25,154423.75,
England,321,Health Associate Professionals,125309.75,125274.25,123151.25,122002.5,
England,323,Welfare and Housing Associate Professionals,227550.5,230909.25,222554.25,227580.75,
England,331,Protective Service Occupations,321367.25,294552.25,291914.75,294377.75,
England,341,"Artistic, Literary and Media Occupations",286992.25,292220.25,325412.5,334665.25,
England,342,Design Occupations,116832.5,132397.75,124284.75,146581.75,
England,344,Sports and Fitness Occupations,115612.75,115172.5,132198.25,140316,
England,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,
England,353,"Business, Finance and Related Associate Professionals",543423.25,560704.5,587582,574631.5,
England,354,"Sales, Marketing and Related Associate Professionals",761098.25,789422,819337.25,831224.75,
England,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
England,356,Public Services and Other Associate Professionals,405764.25,408281,429455.75,412287.5,
England,411,Administrative Occupations: Government and Related Organisations,334588.25,317685,297106.75,271137.25,
England,412,Administrative Occupations: Finance,658499.25,640793.25,650044.5,682470,
England,413,Administrative Occupations: Records,326244.5,333900.5,366280.5,379875.75,
England,416,Administrative Occupations: Office Managers and Supervisors,172192.25,169757.5,173187.25,183973,
England,421,Secretarial and Related Occupations,592948.5,606525.5,584999.25,579875.25,
England,511,Agricultural and Related Trades,229952.5,211080.5,249313.5,237397.25,
England,521,"Metal Forming, Welding and Related Trades",74238.75,79878,93610.75,92609.25,
England,522,"Metal Machining, Fitting and Instrument Making Trades",238088,220597.5,238963.75,249470.75,
England,523,Vehicle Trades,220979.25,221443.75,226848,242780,
England,524,Electrical and Electronic Trades,334891.5,338099.5,343380,380745.5,
England,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,
England,531,Construction and Building Trades,643994,647107,673729,689852.75,
England,532,Building Finishing Trades,166850.75,166015.5,164914.5,168985.25,
England,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,
England,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,
England,542,Printing Trades,49020.5,46581.5,53996,48859.5,
England,543,Food Preparation and Hospitality Trades,357246,367531.75,377589.5,401010.75,
England,544,Other Skilled Trades,82830,75734.25,77157,84574.25,
England,612,Childcare and Related Personal Services,675254,695757,689261.25,720345.25,
England,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,
England,614,Caring Personal Services,946431.5,986379.75,1036707.25,1035085.5,
England,621,Leisure and Travel Services,146094,146204.75,135766.75,140461.25,
England,622,Hairdressers and Related Services,207684.5,214059.25,220783.75,248275.5,
England,711,Sales Assistants and Retail Cashiers,1220192,1171535.25,1195155.75,1182093,
England,712,Sales Related Occupations,135330.75,128869.5,131716.75,131077.75,
England,713,Sales Supervisors,170425.25,157403.75,164945.25,145729.75,
England,721,Customer Service Occupations,336914,336915,330208.75,350322.5,
England,722,Customer Service Managers and Supervisors,111657,102097.5,113666.25,105291,
UK,222,Therapy Professionals,129962.5,140418.25,144171.25,126361,
UK,223,Nursing and Midwifery Professionals,614245.75,626120.75,631066.5,670306.25,
UK,231,Teaching and Educational Professionals,1432042.25,1439591.25,1473075.75,1515464.5,
UK,241,Legal Professionals,194331.25,197011,187533.25,172157.5,
UK,242,"Business, Research and Administrative Professionals",635779.5,656962.75,674070.75,632601.25,
UK,243,"Architects, Town Planners and Surveyors",211995.5,242176.75,229862.25,224428.25,
UK,244,Welfare Professionals,158013.75,173970.5,165747,154417.25,
UK,245,Librarians and Related Professionals,32136.5,39633.5,35890.5,36878.5,
UK,246,Quality and Regulatory Professionals,108887.25,114562,115241.5,118232.75,
UK,247,Media Professionals,142164,136728.75,144046.75,147146.25,
UK,311,"Science, Engineering and Production Technicians",290846.75,281090.25,287412,262898.75,
UK,312,Draughtspersons and Related Architectural Technicians,56376.75,56263.75,58883.75,51023.25,
